cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous,Prediction,Confidence,Accuracy
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9534293561183889,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9277686897799333,Correct
Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9242678440722074,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Poisonous,Poisonous,0.8777461390154215,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9918797489515296,Correct
Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban,Edible,Edible,0.807032028259447,Correct
Flat,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9796049306742208,Correct
Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Poisonous,Poisonous,0.8068331075375229,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban,Poisonous,Poisonous,0.877266280739086,Correct
Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban,Poisonous,Poisonous,0.8854213124938778,Correct
Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.925434217426116,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses,Poisonous,Poisonous,0.80685142735232,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9195297104821323,Correct
Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9401389321463854,Correct
Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9393486216479898,Correct
Flat,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses,Poisonous,Poisonous,0.7894278854756505,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9461720972457465,Correct
Convex,Scaly,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9458972816321338,Correct
Flat,Fibrous,Brown,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban,Edible,Edible,0.807032028259447,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.7344993933577858,Correct
Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9500039746736623,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban,Poisonous,Poisonous,0.877266280739086,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9495959743776775,Correct
Convex,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Paths,Edible,Edible,0.9311689365746507,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9195297104821323,Correct
Convex,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.8167616318173992,Correct
Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Edible,Edible,0.7292456762882601,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban,Poisonous,Poisonous,0.8854213124938778,Correct
Convex,Fibrous,Yellow,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.740096190540276,Correct
Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9195297104821323,Correct
Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.925434217426116,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths,Edible,Edible,0.9288420680418566,Correct
Convex,Fibrous,Brown,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban,Edible,Edible,0.7739023215550728,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses,Poisonous,Poisonous,0.7889663470141118,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows,Edible,Edible,0.9447353625678254,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9436397778541115,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9218641828359496,Correct
Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9456269203081215,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Paths,Edible,Edible,0.9226399374778288,Correct
Flat,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths,Edible,Edible,0.9214735641239201,Correct
Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9280315982590682,Correct
Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9190615021203022,Correct
Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.944729182632225,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Poisonous,Poisonous,0.8697106945797369,Correct
Convex,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban,Poisonous,Poisonous,0.8777461390154215,Correct
Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9242678440722074,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9863921116417557,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9401389321463854,Correct
Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.949325613053665,Correct
Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths,Edible,Edible,0.942286314737492,Correct
Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Edible,Edible,0.7292456762882601,Correct
Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.925434217426116,Correct
Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9418809410396248,Correct
Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9500039746736623,Correct
Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9169973910904973,Correct
Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses,Edible,Edible,0.9868237663180146,Correct
Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9190615021203022,Correct
Flat,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9305639176507031,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9450057238918379,Correct
Convex,Fibrous,Gray,No,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Edible,Edible,0.7074097656353391,Correct
Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.8360600328795391,Correct
Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9393486216479898,Correct
Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.8360600328795391,Correct
Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths,Edible,Edible,0.9311634893851786,Correct
Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.925434217426116,Correct
Flat,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Woods,Edible,Edible,0.8014449651713604,Correct
Convex,Smooth,White,Bruises,Anise,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Woods,Edible,Edible,0.8071183541403711,Correct
Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Paths,Edible,Edible,0.9311689365746507,Correct
Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Poisonous,Poisonous,0.8859011707702131,Correct
Flat,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Grasses,Edible,Edible,0.9403207969652903,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9848255956953682,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Poisonous,Poisonous,0.7884864887377764,Correct
Flat,Fibrous,Gray,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban,Edible,Edible,0.807032028259447,Correct
Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses,Edible,Edible,0.9840407690112609,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9214735641239201,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9840407690112609,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9217355246805724,Correct
Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9190615021203022,Correct
Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses,Edible,Edible,0.9280370454485403,Correct
Sunken,Fibrous,Brown,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Edible,Edible,0.7292456762882601,Correct
Convex,Fibrous,Brown,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban,Edible,Edible,0.785196117606526,Correct
Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9169973910904973,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9267752830732104,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows,Edible,Edible,0.9534293561183889,Correct
Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9868237663180146,Correct
Convex,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9073059356908962,Correct
Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9224344866189876,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.945901735921734,Correct
Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9041509155701821,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses,Edible,Edible,0.9075762970149087,Correct
Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.984258794075935,Correct
Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9472615020238601,Correct
Flat,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9214735641239201,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths,Edible,Edible,0.9428531163569253,Correct
Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9474716552820273,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows,Edible,Edible,0.9461720972457465,Correct
Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Grasses,Edible,Edible,0.9416867430030166,Correct
Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows,Edible,Edible,0.9169973910904973,Correct
Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9041509155701821,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows,Edible,Edible,0.945901735921734,Correct
Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses,Edible,Edible,0.9481592396997565,Correct
Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban,Edible,Edible,0.7739023215550728,Correct
Convex,Fibrous,White,Bruises,Almond,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Woods,Edible,Edible,0.7445896302357218,Correct
Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows,Edible,Edible,0.945901735921734,Correct
Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban,Poisonous,Poisonous,0.8777461390154215,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses,Edible,Edible,0.9220731358583956,Correct
Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban,Edible,Edible,0.807032028259447,Correct
Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses,Edible,Edible,0.9276756946879481,Correct
Convex,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Woods,Edible,Edible,0.8071183541403711,Correct
Sunken,Fibrous,Brown,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban,Edible,Edible,0.807032028259447,Correct
Convex,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses,Poisonous,Poisonous,0.7894278854756505,Correct
Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows,Edible,Edible,0.9468396815261393,Correct
Flat,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses,Poisonous,Poisonous,0.80685142735232,Correct
Flat,Smooth,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9868237663180146,Correct
Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows,Edible,Edible,0.9450359611603389,Correct
Convex,Smooth,White,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses,Edible,Edible,0.9827412253534998,Correct
Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses,Edible,Edible,0.9426712515380204,Correct
Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses,Edible,Edible,0.9557909140339482,Correct
